[Step 1254] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 1.]
[Step 1268] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 1. 3.]
[Step 1278] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 2. 3.]
[Step 1292] Action: 3, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 2. 2.]
[Step 1302] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 2. 2.]
[Step 1316] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 2. 2. 0.]
[Step 1330] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 2. 2. 0.]
[Step 1344] Action: 3, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 3. 3. 0.]
[Step 1358] Action: 1, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 3. 3. 0.]
[Step 1372] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 3. 3. 1.]
[Step 1382] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 4. 3. 1.]
[Step 1396] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 2.]
[Step 1410] Action: 3, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1424] Action: 0, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [2. 1. 0. 0.]
[Step 1438] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [4. 0. 0. 0.]
[Step 1452] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [4. 0. 1. 0.]
[Step 1462] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [4. 0. 2. 0.]
[Step 1472] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [4. 0. 2. 1.]
[Step 1486] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 2. 0.]
[Step 1500] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 3. 0.]
[Step 1514] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 3. 0.]
[Step 1528] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 0.]
[Step 1538] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 0.]
[Step 1548] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 3. 0.]
[Step 1558] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 3. 0.]
[Step 1572] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 0.]
[Step 1586] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1600] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 1.]
[Step 1614] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 0. 0.]
[Step 1628] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1642] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1652] Action: 1, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1662] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 0.]
[Step 1676] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
