[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Step 0] Agent 1 Action: 3, Reward: 0.0000
[Step 0] Agent 2 Action: 0, Reward: 0.0000
[Step 0] Agent 3 Action: 0, Reward: 0.0000
[Step 0] Adaptive green duration: 40
[InjectFault] TL 1: Fault injected. Phase 4 changed from rrrGGrrrrGGr to rrrGGrrrrGrr. Flipped indices: [10]
[Simulate] Step 142: Queue length 32, Waiting time 1612.0, Emergency Delay: 0.0
[Simulate] Step 143: Queue length 32, Waiting time 1644.0, Emergency Delay: 0.0
[Step 143] Agent 0 Action: 2, Reward: -0.2780
[Step 143] Agent 1 Action: 3, Reward: -0.3013
[Step 143] Agent 2 Action: 1, Reward: -0.4693
[Step 143] Agent 3 Action: 1, Reward: -0.1433
[SetYellow] TL 5: Set yellow phase 7 out of 8 phases.
[Simulate] Step 144: Queue length 32, Waiting time 1676.0, Emergency Delay: 0.0
[Simulate] Step 145: Queue length 32, Waiting time 1708.0, Emergency Delay: 0.0
[Simulate] Step 146: Queue length 32, Waiting time 1740.0, Emergency Delay: 0.0
[Simulate] Step 147: Queue length 33, Waiting time 1773.0, Emergency Delay: 0.0
[SetYellow] TL 6: Set yellow phase 1 out of 8 phases.
[Simulate] Step 148: Queue length 33, Waiting time 1764.0, Emergency Delay: 0.0
[Simulate] Step 149: Queue length 33, Waiting time 1797.0, Emergency Delay: 0.0
[Simulate] Step 150: Queue length 32, Waiting time 1829.0, Emergency Delay: 0.0
[Simulate] Step 151: Queue length 31, Waiting time 1866.0, Emergency Delay: 0.0
[Step 151] Adaptive green duration: 50
[Simulate] Step 152: Queue length 30, Waiting time 1896.0, Emergency Delay: 0.0
[Simulate] Step 153: Queue length 29, Waiting time 1925.0, Emergency Delay: 0.0
[Simulate] Step 154: Queue length 29, Waiting time 1990.0, Emergency Delay: 0.0
[Simulate] Step 155: Queue length 30, Waiting time 2020.0, Emergency Delay: 0.0
[Simulate] Step 156: Queue length 31, Waiting time 2051.0, Emergency Delay: 0.0
[Simulate] Step 157: Queue length 31, Waiting time 2082.0, Emergency Delay: 0.0
[Simulate] Step 158: Queue length 32, Waiting time 2114.0, Emergency Delay: 0.0
[Simulate] Step 159: Queue length 32, Waiting time 2146.0, Emergency Delay: 0.0
[Simulate] Step 160: Queue length 34, Waiting time 2180.0, Emergency Delay: 0.0
[Simulate] Step 161: Queue length 31, Waiting time 1961.0, Emergency Delay: 0.0
[Simulate] Step 162: Queue length 30, Waiting time 1991.0, Emergency Delay: 0.0
[Simulate] Step 163: Queue length 29, Waiting time 2020.0, Emergency Delay: 0.0
[Simulate] Step 164: Queue length 29, Waiting time 1957.0, Emergency Delay: 0.0
[Simulate] Step 165: Queue length 29, Waiting time 1986.0, Emergency Delay: 0.0
[Simulate] Step 166: Queue length 28, Waiting time 2024.0, Emergency Delay: 0.0
[Simulate] Step 167: Queue length 28, Waiting time 2052.0, Emergency Delay: 0.0
[Simulate] Step 168: Queue length 28, Waiting time 2083.0, Emergency Delay: 0.0
[Simulate] Step 169: Queue length 28, Waiting time 2111.0, Emergency Delay: 0.0
[Simulate] Step 170: Queue length 28, Waiting time 2141.0, Emergency Delay: 0.0
[Simulate] Step 171: Queue length 27, Waiting time 2168.0, Emergency Delay: 0.0
[Simulate] Step 172: Queue length 26, Waiting time 2197.0, Emergency Delay: 0.0
[Simulate] Step 173: Queue length 25, Waiting time 2222.0, Emergency Delay: 0.0
[Simulate] Step 174: Queue length 24, Waiting time 2273.0, Emergency Delay: 0.0
[Simulate] Step 175: Queue length 23, Waiting time 2186.0, Emergency Delay: 0.0
[Simulate] Step 176: Queue length 24, Waiting time 2268.0, Emergency Delay: 0.0
[Simulate] Step 177: Queue length 23, Waiting time 2233.0, Emergency Delay: 0.0
[Simulate] Step 178: Queue length 24, Waiting time 2212.0, Emergency Delay: 0.0
[Simulate] Step 179: Queue length 24, Waiting time 2178.0, Emergency Delay: 0.0
[Simulate] Step 180: Queue length 25, Waiting time 2168.0, Emergency Delay: 0.0
[Simulate] Step 181: Queue length 26, Waiting time 2151.0, Emergency Delay: 0.0
[Simulate] Step 182: Queue length 26, Waiting time 2130.0, Emergency Delay: 0.0
[Simulate] Step 183: Queue length 27, Waiting time 2116.0, Emergency Delay: 0.0
[Simulate] Step 184: Queue length 27, Waiting time 2096.0, Emergency Delay: 0.0
[Simulate] Step 185: Queue length 28, Waiting time 1998.0, Emergency Delay: 0.0
[Simulate] Step 186: Queue length 28, Waiting time 2043.0, Emergency Delay: 0.0
[Simulate] Step 187: Queue length 30, Waiting time 2015.0, Emergency Delay: 0.0
[Simulate] Step 188: Queue length 30, Waiting time 2050.0, Emergency Delay: 0.0
[Simulate] Step 189: Queue length 31, Waiting time 2023.0, Emergency Delay: 0.0
[Simulate] Step 190: Queue length 31, Waiting time 2058.0, Emergency Delay: 0.0
[Simulate] Step 191: Queue length 31, Waiting time 2031.0, Emergency Delay: 0.0
[Simulate] Step 192: Queue length 32, Waiting time 2070.0, Emergency Delay: 0.0
[Simulate] Step 193: Queue length 33, Waiting time 2103.0, Emergency Delay: 0.0
[Simulate] Step 194: Queue length 33, Waiting time 2144.0, Emergency Delay: 0.0
[Simulate] Step 195: Queue length 33, Waiting time 2177.0, Emergency Delay: 0.0
[Simulate] Step 196: Queue length 35, Waiting time 2212.0, Emergency Delay: 0.0
[Simulate] Step 197: Queue length 34, Waiting time 2170.0, Emergency Delay: 0.0
[Simulate] Step 198: Queue length 34, Waiting time 2204.0, Emergency Delay: 0.0
[Simulate] Step 199: Queue length 34, Waiting time 2238.0, Emergency Delay: 0.0
[Simulate] Step 200: Queue length 35, Waiting time 2283.0, Emergency Delay: 0.0
[Simulate] Step 201: Queue length 35, Waiting time 2318.0, Emergency Delay: 0.0
[Step 201] Agent 0 Action: 1, Reward: -0.2097
[Step 201] Agent 1 Action: 3, Reward: -0.8750
[Step 201] Agent 2 Action: 0, Reward: -0.0437
[Step 201] Agent 3 Action: 3, Reward: -0.3537
[SetYellow] TL 1: Set yellow phase 5 out of 8 phases.
[Simulate] Step 202: Queue length 35, Waiting time 2419.0, Emergency Delay: 0.0
[Simulate] Step 203: Queue length 35, Waiting time 2454.0, Emergency Delay: 0.0
[Simulate] Step 204: Queue length 36, Waiting time 2490.0, Emergency Delay: 0.0
[Simulate] Step 205: Queue length 37, Waiting time 2527.0, Emergency Delay: 0.0
[SetYellow] TL 5: Set yellow phase 3 out of 8 phases.
[Simulate] Step 206: Queue length 37, Waiting time 2351.0, Emergency Delay: 0.0
[Simulate] Step 207: Queue length 37, Waiting time 2388.0, Emergency Delay: 0.0
[Simulate] Step 208: Queue length 35, Waiting time 2423.0, Emergency Delay: 0.0
[Simulate] Step 209: Queue length 33, Waiting time 2445.0, Emergency Delay: 0.0
[SetYellow] TL 6: Set yellow phase 3 out of 8 phases.
[Simulate] Step 210: Queue length 32, Waiting time 2326.0, Emergency Delay: 0.0
[Simulate] Step 211: Queue length 30, Waiting time 2356.0, Emergency Delay: 0.0
[Simulate] Step 212: Queue length 31, Waiting time 2240.0, Emergency Delay: 0.0
[Simulate] Step 213: Queue length 29, Waiting time 2209.0, Emergency Delay: 0.0
[Step 213] Adaptive green duration: 42
[Simulate] Step 214: Queue length 28, Waiting time 2156.0, Emergency Delay: 0.0
[Simulate] Step 215: Queue length 28, Waiting time 2184.0, Emergency Delay: 0.0
[Simulate] Step 216: Queue length 27, Waiting time 2211.0, Emergency Delay: 0.0
[Simulate] Step 217: Queue length 27, Waiting time 2154.0, Emergency Delay: 0.0
[Simulate] Step 218: Queue length 28, Waiting time 2182.0, Emergency Delay: 0.0
[Simulate] Step 219: Queue length 28, Waiting time 2132.0, Emergency Delay: 0.0
[Simulate] Step 220: Queue length 28, Waiting time 2160.0, Emergency Delay: 0.0
[Simulate] Step 221: Queue length 30, Waiting time 2190.0, Emergency Delay: 0.0
[Simulate] Step 222: Queue length 31, Waiting time 2154.0, Emergency Delay: 0.0
[Simulate] Step 223: Queue length 31, Waiting time 2101.0, Emergency Delay: 0.0
[Simulate] Step 224: Queue length 28, Waiting time 2129.0, Emergency Delay: 0.0
[Simulate] Step 225: Queue length 28, Waiting time 2157.0, Emergency Delay: 0.0
[Simulate] Step 226: Queue length 27, Waiting time 2109.0, Emergency Delay: 0.0
[Simulate] Step 227: Queue length 26, Waiting time 2155.0, Emergency Delay: 0.0
[Simulate] Step 228: Queue length 26, Waiting time 2181.0, Emergency Delay: 0.0
