Timestamp: 2025-04-14 00:24:07
Intersection: roundabout
Total reward: -8330.00
Epsilon: 0.92
Simulation duration: 31.5s
Avg queue length: 2.34
Cumulative wait time: 12625.00
Fault injected: ❌ No
Total Emergency Delay: 5028.00

Action Distribution:
Action 0: 287 times
Action 1: 278 times
Action 2: 274 times
Action 3: 282 times

Q-Value Log Per Step:
Step 10 | Action: 0 (exploration)
Step 24 | Action: 3 (exploration)
Step 38 | Action: 2 (exploration)
Step 52 | Action: 1 (exploration)
Step 66 | Action: 3 (exploration)
Step 80 | Action: 3 (exploration)
Step 90 | Action: 2 (exploration)
Step 104 | Action: 3 (exploration)
Step 118 | Action: 1 (exploration)
Step 132 | Action: 1 (exploration)
Step 142 | Action: 3 (exploration)
Step 156 | Action: 3 | Raw Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156] | Boosted Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156]
Step 166 | Action: 0 (exploration)
Step 180 | Action: 2 (exploration)
Step 194 | Action: 3 (exploration)
Step 208 | Action: 3 (exploration)
Step 218 | Action: 3 (exploration)
Step 228 | Action: 3 (exploration)
Step 239 | Action: 2 (exploration)
Step 255 | Action: 2 (exploration)
Step 265 | Action: 0 (exploration)
Step 280 | Action: 0 (exploration)
Step 290 | Action: 1 (exploration)
Step 304 | Action: 0 (exploration)
Step 318 | Action: 2 (exploration)
Step 332 | Action: 1 (exploration)
Step 356 | Action: 3 (exploration)
Step 370 | Action: 0 (exploration)
Step 384 | Action: 2 (exploration)
Step 398 | Action: 3 (exploration)
Step 413 | Action: 0 (exploration)
Step 427 | Action: 3 (exploration)
Step 443 | Action: 2 (exploration)
Step 459 | Action: 1 (exploration)
Step 473 | Action: 1 (exploration)
Step 483 | Action: 3 (exploration)
Step 500 | Action: 0 (exploration)
Step 514 | Action: 3 (exploration)
Step 529 | Action: 3 (exploration)
Step 540 | Action: 1 | Raw Q: [13.75558853149414, 62.122371673583984, 29.442995071411133, 48.643306732177734] | Boosted Q: [13.75558853149414, 62.122371673583984, 29.742996215820312, 48.643306732177734]
Step 557 | Action: 1 (exploration)
Step 567 | Action: 2 (exploration)
Step 585 | Action: 1 (exploration)
Step 609 | Action: 2 (exploration)
Step 633 | Action: 2 (exploration)
Step 653 | Action: 2 (exploration)
Step 673 | Action: 1 (exploration)
Step 697 | Action: 0 (exploration)
Step 721 | Action: 3 (exploration)
Step 736 | Action: 1 (exploration)
Step 751 | Action: 3 (exploration)
Step 768 | Action: 1 (exploration)
Step 783 | Action: 2 (exploration)
Step 797 | Action: 1 (exploration)
Step 813 | Action: 1 (exploration)
Step 828 | Action: 1 (exploration)
Step 848 | Action: 2 (exploration)
Step 872 | Action: 0 (exploration)
Step 896 | Action: 3 (exploration)
Step 912 | Action: 1 | Raw Q: [24.21779441833496, 94.80860900878906, 42.41188049316406, 83.00122833251953] | Boosted Q: [24.21779441833496, 94.80860900878906, 43.41188049316406, 83.00122833251953]
Step 933 | Action: 3 (exploration)
Step 952 | Action: 1 (exploration)
Step 967 | Action: 1 (exploration)
Step 983 | Action: 0 (exploration)
Step 1007 | Action: 1 (exploration)
Step 1025 | Action: 0 (exploration)
Step 1045 | Action: 1 (exploration)
Step 1059 | Action: 2 (exploration)
Step 1077 | Action: 3 (exploration)
Step 1101 | Action: 0 (exploration)
Step 1119 | Action: 0 (exploration)
Step 1139 | Action: 0 (exploration)
Step 1159 | Action: 2 (exploration)
Step 1183 | Action: 3 (exploration)
Step 1204 | Action: 0 (exploration)
Step 1219 | Action: 3 (exploration)
Step 1238 | Action: 2 (exploration)
Step 1257 | Action: 0 (exploration)
Step 1275 | Action: 0 (exploration)
Step 1285 | Action: 0 (exploration)
Step 1298 | Action: 3 (exploration)
Step 1320 | Action: 1 (exploration)
Step 1341 | Action: 0 (exploration)
Step 1361 | Action: 0 (exploration)
Step 1372 | Action: 3 (exploration)
Step 1391 | Action: 2 (exploration)
Step 1414 | Action: 1 (exploration)
Step 1434 | Action: 2 (exploration)
Step 1458 | Action: 0 (exploration)
Step 1482 | Action: 2 (exploration)
Step 1497 | Action: 2 (exploration)
Step 1512 | Action: 1 (exploration)
Step 1536 | Action: 2 (exploration)
Step 1560 | Action: 0 (exploration)
Step 1584 | Action: 0 (exploration)
Step 1599 | Action: 2 (exploration)
Step 1623 | Action: 1 (exploration)
Step 1647 | Action: 1 (exploration)
Step 1667 | Action: 0 (exploration)
Step 1701 | Action: 1 (exploration)
Step 1720 | Action: 2 (exploration)
Step 1744 | Action: 3 (exploration)
Step 1768 | Action: 1 (exploration)
Step 1782 | Action: 2 (exploration)
Step 1798 | Action: 0 (exploration)
Step 1822 | Action: 1 | Raw Q: [10.84317684173584, 41.132808685302734, 18.91569709777832, 34.67809295654297] | Boosted Q: [10.84317684173584, 41.132808685302734, 19.115697860717773, 34.67809295654297]
Step 1838 | Action: 3 (exploration)
Step 1854 | Action: 2 (exploration)
Step 1868 | Action: 0 (exploration)
Step 1885 | Action: 1 (exploration)
Step 1899 | Action: 3 (exploration)
Step 1914 | Action: 2 (exploration)
Step 1928 | Action: 0 | Raw Q: [27.599681854248047, 3.0385141372680664, 18.006023406982422, 16.963298797607422] | Boosted Q: [27.7996826171875, 3.0385141372680664, 18.006023406982422, 16.963298797607422]
Step 1942 | Action: 0 (exploration)
Step 1952 | Action: 1 (exploration)
Step 1966 | Action: 3 (exploration)
Step 1980 | Action: 1 (exploration)
Step 1994 | Action: 2 (exploration)
Step 2009 | Action: 1 (exploration)
Step 2031 | Action: 1 (exploration)
Step 2051 | Action: 0 (exploration)
Step 2075 | Action: 1 (exploration)
Step 2089 | Action: 0 (exploration)
Step 2104 | Action: 2 (exploration)
Step 2118 | Action: 0 (exploration)
Step 2132 | Action: 3 (exploration)
Step 2146 | Action: 3 (exploration)
Step 2156 | Action: 1 (exploration)
Step 2170 | Action: 2 (exploration)
Step 2184 | Action: 0 (exploration)
Step 2199 | Action: 1 (exploration)
Step 2213 | Action: 1 (exploration)
Step 2223 | Action: 0 | Raw Q: [38.17827224731445, 14.99755859375, 28.60963249206543, 30.77143669128418] | Boosted Q: [38.478271484375, 14.99755859375, 28.60963249206543, 30.77143669128418]
Step 2238 | Action: 1 (exploration)
Step 2252 | Action: 3 (exploration)
Step 2266 | Action: 2 (exploration)
Step 2280 | Action: 2 (exploration)
Step 2290 | Action: 1 (exploration)
Step 2306 | Action: 1 (exploration)
Step 2321 | Action: 3 (exploration)
Step 2345 | Action: 3 (exploration)
Step 2355 | Action: 0 (exploration)
Step 2370 | Action: 1 (exploration)
Step 2386 | Action: 0 (exploration)
Step 2401 | Action: 0 (exploration)
Step 2411 | Action: 3 (exploration)
Step 2425 | Action: 2 (exploration)
Step 2439 | Action: 0 (exploration)
