Timestamp: 2025-04-14 11:06:15
Intersection: cross
Total reward: -7478.00
Epsilon: 0.98
Simulation duration: 79.9s
Avg queue length: 1.81
Cumulative wait time: 9779.00
Fault injected: ❌ No
Total Emergency Delay: 15286.00

Action Distribution:
Action 0: 186 times
Action 1: 190 times
Action 2: 174 times
Action 3: 190 times

Q-Value Log Per Step:
Step 937 | Action: 1 (exploration)
Step 957 | Action: 1 (exploration)
Step 977 | Action: 3 (exploration)
Step 1001 | Action: 1 (exploration)
Step 1025 | Action: 0 (exploration)
Step 1049 | Action: 3 (exploration)
Step 1073 | Action: 1 (exploration)
Step 1097 | Action: 1 (exploration)
Step 1117 | Action: 2 (exploration)
Step 1141 | Action: 0 (exploration)
Step 1159 | Action: 2 (exploration)
Step 1174 | Action: 2 (exploration)
Step 1186 | Action: 0 (exploration)
Step 1203 | Action: 1 (exploration)
Step 1220 | Action: 1 (exploration)
Step 1233 | Action: 3 (exploration)
Step 1251 | Action: 2 (exploration)
Step 1265 | Action: 2 (exploration)
Step 1275 | Action: 2 (exploration)
Step 1285 | Action: 1 (exploration)
Step 1300 | Action: 1 (exploration)
Step 1312 | Action: 1 (exploration)
Step 1325 | Action: 1 (exploration)
Step 1340 | Action: 2 (exploration)
Step 1362 | Action: 2 (exploration)
Step 1382 | Action: 0 (exploration)
Step 1406 | Action: 3 (exploration)
Step 1420 | Action: 3 (exploration)
Step 1432 | Action: 3 (exploration)
Step 1447 | Action: 2 (exploration)
Step 1470 | Action: 3 (exploration)
Step 1486 | Action: 2 (exploration)
Step 1504 | Action: 1 (exploration)
Step 1526 | Action: 2 (exploration)
Step 1549 | Action: 2 (exploration)
Step 1569 | Action: 0 (exploration)
Step 1593 | Action: 0 (exploration)
Step 1604 | Action: 3 (exploration)
Step 1620 | Action: 3 (exploration)
Step 1633 | Action: 3 (exploration)
Step 1649 | Action: 2 (exploration)
Step 1671 | Action: 3 (exploration)
Step 1703 | Action: 1 | Raw Q: [-0.8950860500335693, 2.1807377338409424, 0.06688269227743149, -0.4408850371837616] | Boosted Q: [1.4049140214920044, 2.1807377338409424, 0.06688269227743149, -0.4408850371837616]
Step 1726 | Action: 2 (exploration)
Step 1750 | Action: 0 (exploration)
Step 1774 | Action: 0 (exploration)
Step 1786 | Action: 1 (exploration)
Step 1805 | Action: 3 (exploration)
Step 1823 | Action: 3 (exploration)
Step 1841 | Action: 2 (exploration)
Step 1865 | Action: 1 (exploration)
Step 1885 | Action: 0 (exploration)
Step 1909 | Action: 2 (exploration)
Step 1926 | Action: 3 (exploration)
Step 1942 | Action: 3 (exploration)
Step 1954 | Action: 0 (exploration)
Step 1971 | Action: 1 (exploration)
Step 1988 | Action: 0 (exploration)
Step 2003 | Action: 2 (exploration)
Step 2028 | Action: 3 (exploration)
Step 2045 | Action: 1 (exploration)
Step 2062 | Action: 2 (exploration)
Step 2083 | Action: 0 | Raw Q: [-0.5067018270492554, 1.2619904279708862, -0.0072524589486420155, -0.1951129287481308] | Boosted Q: [1.8932982683181763, 1.2619904279708862, -0.0072524589486420155, -0.1951129287481308]
