Timestamp: 2025-04-14 11:08:41
Intersection: cross
Total reward: -9690.00
Epsilon: 0.96
Simulation duration: 56.0s
Avg queue length: 2.17
Cumulative wait time: 11707.00
Fault injected: ❌ No
Total Emergency Delay: 137903.00

Action Distribution:
Action 0: 269 times
Action 1: 272 times
Action 2: 273 times
Action 3: 284 times

Q-Value Log Per Step:
Step 0 | Action: 3 (exploration)
Step 1135 | Action: 3 (exploration)
Step 1152 | Action: 0 (exploration)
Step 1171 | Action: 2 (exploration)
Step 1191 | Action: 3 (exploration)
Step 1205 | Action: 3 (exploration)
Step 1215 | Action: 3 (exploration)
Step 1226 | Action: 1 (exploration)
Step 1241 | Action: 3 (exploration)
Step 1257 | Action: 1 (exploration)
Step 1273 | Action: 0 (exploration)
Step 1290 | Action: 0 (exploration)
Step 1301 | Action: 1 (exploration)
Step 1317 | Action: 3 (exploration)
Step 1334 | Action: 1 (exploration)
Step 1353 | Action: 2 (exploration)
Step 1375 | Action: 0 (exploration)
Step 1393 | Action: 3 (exploration)
Step 1407 | Action: 1 (exploration)
Step 1421 | Action: 1 (exploration)
Step 1434 | Action: 2 (exploration)
Step 1454 | Action: 2 (exploration)
Step 1465 | Action: 2 (exploration)
Step 1477 | Action: 1 (exploration)
Step 1494 | Action: 2 (exploration)
Step 1513 | Action: 3 (exploration)
Step 1534 | Action: 1 (exploration)
Step 1558 | Action: 3 (exploration)
Step 1582 | Action: 2 (exploration)
Step 1606 | Action: 1 (exploration)
Step 1630 | Action: 2 (exploration)
Step 1654 | Action: 0 (exploration)
Step 1688 | Action: 0 (exploration)
Step 1701 | Action: 1 (exploration)
Step 1719 | Action: 0 (exploration)
Step 1740 | Action: 2 (exploration)
Step 1761 | Action: 3 (exploration)
Step 1779 | Action: 1 (exploration)
Step 1795 | Action: 1 (exploration)
Step 1806 | Action: 1 (exploration)
Step 1818 | Action: 1 (exploration)
Step 1832 | Action: 0 (exploration)
Step 1853 | Action: 3 (exploration)
Step 1871 | Action: 3 (exploration)
Step 1884 | Action: 3 (exploration)
Step 1898 | Action: 3 (exploration)
Step 1915 | Action: 1 (exploration)
Step 1939 | Action: 2 (exploration)
Step 1963 | Action: 1 (exploration)
Step 1979 | Action: 2 (exploration)
Step 1996 | Action: 2 (exploration)
Step 2011 | Action: 3 (exploration)
Step 2042 | Action: 2 (exploration)
Step 2066 | Action: 0 (exploration)
Step 2090 | Action: 0 (exploration)
Step 2100 | Action: 0 (exploration)
Step 2111 | Action: 0 (exploration)
Step 2123 | Action: 3 (exploration)
Step 2142 | Action: 3 (exploration)
Step 2161 | Action: 0 (exploration)
Step 2185 | Action: 3 (exploration)
Step 2209 | Action: 3 (exploration)
Step 2229 | Action: 2 (exploration)
Step 2253 | Action: 1 (exploration)
Step 2271 | Action: 2 (exploration)
Step 2285 | Action: 0 (exploration)
Step 2299 | Action: 1 (exploration)
Step 2313 | Action: 2 (exploration)
Step 2327 | Action: 0 (exploration)
Step 2341 | Action: 2 (exploration)
Step 2355 | Action: 3 (exploration)
Step 2369 | Action: 3 (exploration)
Step 2379 | Action: 2 (exploration)
Step 2394 | Action: 2 (exploration)
Step 2405 | Action: 0 (exploration)
Step 2421 | Action: 0 (exploration)
Step 2431 | Action: 3 (exploration)
Step 2445 | Action: 3 (exploration)
Step 2455 | Action: 2 (exploration)
Step 2469 | Action: 0 (exploration)
Step 2483 | Action: 0 (exploration)
Step 2493 | Action: 0 (exploration)
Step 2503 | Action: 0 (exploration)
Step 2513 | Action: 2 (exploration)
Step 2527 | Action: 1 (exploration)
Step 2541 | Action: 3 (exploration)
Step 2555 | Action: 3 (exploration)
Step 2565 | Action: 0 (exploration)
Step 2580 | Action: 1 (exploration)
Step 2595 | Action: 3 (exploration)
Step 2610 | Action: 2 (exploration)
Step 2626 | Action: 3 (exploration)
Step 2640 | Action: 2 (exploration)
Step 2654 | Action: 1 (exploration)
Step 2668 | Action: 0 (exploration)
Step 2683 | Action: 3 (exploration)
Step 2697 | Action: 0 (exploration)
Step 2711 | Action: 2 (exploration)
Step 2725 | Action: 0 (exploration)
Step 2739 | Action: 2 (exploration)
Step 2753 | Action: 2 (exploration)
Step 2763 | Action: 0 (exploration)
Step 2777 | Action: 2 (exploration)
Step 2791 | Action: 0 (exploration)
Step 2805 | Action: 3 (exploration)
Step 2819 | Action: 2 (exploration)
Step 2833 | Action: 2 (exploration)
Step 2853 | Action: 1 (exploration)
Step 2870 | Action: 0 (exploration)
Step 2887 | Action: 0 (exploration)
Step 2900 | Action: 3 (exploration)
Step 2917 | Action: 0 (exploration)
Step 2934 | Action: 1 (exploration)
Step 2952 | Action: 3 (exploration)
Step 2971 | Action: 3 (exploration)
Step 2986 | Action: 2 (exploration)
Step 3006 | Action: 3 (exploration)
Step 3021 | Action: 1 (exploration)
Step 3037 | Action: 0 (exploration)
Step 3054 | Action: 0 (exploration)
Step 3064 | Action: 2 (exploration)
Step 3078 | Action: 0 (exploration)
Step 3092 | Action: 0 (exploration)
Step 3102 | Action: 3 (exploration)
Step 3116 | Action: 0 (exploration)
Step 3130 | Action: 2 (exploration)
Step 3145 | Action: 3 (exploration)
Step 3159 | Action: 1 (exploration)
Step 3173 | Action: 1 (exploration)
Step 3183 | Action: 1 (exploration)
Step 3193 | Action: 3 (exploration)
Step 3207 | Action: 2 (exploration)
Step 3221 | Action: 2 (exploration)
Step 3231 | Action: 3 (exploration)
Step 3245 | Action: 0 (exploration)
Step 3259 | Action: 1 (exploration)
Step 3273 | Action: 0 (exploration)
Step 3287 | Action: 1 (exploration)
Step 3301 | Action: 2 (exploration)
Step 3315 | Action: 3 (exploration)
Step 3329 | Action: 3 (exploration)
Step 3339 | Action: 3 (exploration)
Step 3349 | Action: 1 (exploration)
Step 3364 | Action: 3 (exploration)
Step 3380 | Action: 1 (exploration)
Step 3397 | Action: 3 (exploration)
Step 3415 | Action: 0 (exploration)
Step 3434 | Action: 0 (exploration)
Step 3447 | Action: 2 (exploration)
Step 3464 | Action: 1 (exploration)
Step 3478 | Action: 3 (exploration)
Step 3492 | Action: 1 (exploration)
Step 3506 | Action: 3 (exploration)
Step 3520 | Action: 2 (exploration)
Step 3534 | Action: 3 (exploration)
Step 3548 | Action: 1 (exploration)
Step 3562 | Action: 2 (exploration)
Step 3576 | Action: 2 (exploration)
Step 3587 | Action: 3 (exploration)
Step 3603 | Action: 0 (exploration)
Step 3620 | Action: 1 (exploration)
Step 3634 | Action: 3 (exploration)
Step 3649 | Action: 3 (exploration)
Step 3660 | Action: 3 (exploration)
Step 3672 | Action: 1 (exploration)
Step 3688 | Action: 1 (exploration)
Step 3701 | Action: 1 (exploration)
Step 3714 | Action: 1 (exploration)
Step 3727 | Action: 1 (exploration)
Step 3741 | Action: 2 (exploration)
Step 3759 | Action: 3 (exploration)
Step 3773 | Action: 1 (exploration)
Step 3787 | Action: 1 (exploration)
Step 3797 | Action: 2 (exploration)
Step 3811 | Action: 1 (exploration)
Step 3825 | Action: 2 (exploration)
Step 3839 | Action: 0 (exploration)
Step 3853 | Action: 0 (exploration)
Step 3863 | Action: 1 (exploration)
Step 3877 | Action: 1 (exploration)
Step 3887 | Action: 0 (exploration)
Step 3901 | Action: 0 (exploration)
Step 3912 | Action: 1 (exploration)
Step 3927 | Action: 0 (exploration)
Step 3942 | Action: 0 (exploration)
Step 3954 | Action: 1 (exploration)
Step 3970 | Action: 0 (exploration)
Step 3987 | Action: 0 (exploration)
Step 4000 | Action: 3 (exploration)
Step 4018 | Action: 2 (exploration)
Step 4036 | Action: 3 (exploration)
Step 4050 | Action: 3 (exploration)
Step 4060 | Action: 2 (exploration)
Step 4074 | Action: 0 (exploration)
Step 4088 | Action: 0 (exploration)
Step 4098 | Action: 2 (exploration)
Step 4112 | Action: 2 (exploration)
Step 4122 | Action: 1 (exploration)
Step 4136 | Action: 3 (exploration)
Step 4150 | Action: 0 (exploration)
Step 4164 | Action: 2 (exploration)
Step 4178 | Action: 2 (exploration)
Step 4188 | Action: 0 (exploration)
Step 4202 | Action: 2 (exploration)
Step 4216 | Action: 0 (exploration)
Step 4230 | Action: 2 (exploration)
Step 4244 | Action: 3 (exploration)
Step 4258 | Action: 1 (exploration)
Step 4272 | Action: 2 (exploration)
Step 4286 | Action: 0 (exploration)
Step 4300 | Action: 1 (exploration)
Step 4314 | Action: 1 (exploration)
Step 4324 | Action: 3 (exploration)
Step 4338 | Action: 0 (exploration)
Step 4352 | Action: 3 (exploration)
Step 4366 | Action: 0 (exploration)
Step 4380 | Action: 0 (exploration)
Step 4390 | Action: 0 (exploration)
Step 4400 | Action: 3 (exploration)
Step 4414 | Action: 1 (exploration)
Step 4428 | Action: 0 (exploration)
Step 4442 | Action: 2 (exploration)
Step 4456 | Action: 0 (exploration)
Step 4470 | Action: 1 (exploration)
Step 4484 | Action: 2 (exploration)
Step 4498 | Action: 3 (exploration)
Step 4512 | Action: 2 (exploration)
Step 4526 | Action: 1 (exploration)
Step 4540 | Action: 3 (exploration)
Step 4554 | Action: 0 (exploration)
Step 4568 | Action: 2 (exploration)
Step 4582 | Action: 1 (exploration)
Step 4596 | Action: 2 (exploration)
Step 4610 | Action: 1 (exploration)
Step 4624 | Action: 1 (exploration)
Step 4634 | Action: 3 (exploration)
Step 4648 | Action: 3 (exploration)
Step 4658 | Action: 0 (exploration)
Step 4672 | Action: 2 (exploration)
Step 4686 | Action: 3 (exploration)
Step 4700 | Action: 0 (exploration)
Step 4714 | Action: 0 (exploration)
Step 4724 | Action: 2 (exploration)
Step 4738 | Action: 3 (exploration)
Step 4752 | Action: 2 (exploration)
Step 4766 | Action: 3 (exploration)
Step 4780 | Action: 3 (exploration)
Step 4790 | Action: 2 (exploration)
Step 4804 | Action: 0 (exploration)
Step 4818 | Action: 2 (exploration)
Step 4832 | Action: 2 (exploration)
Step 4842 | Action: 3 (exploration)
Step 4856 | Action: 3 (exploration)
Step 4866 | Action: 3 (exploration)
Step 4876 | Action: 3 (exploration)
Step 4886 | Action: 1 (exploration)
Step 4900 | Action: 3 (exploration)
Step 4914 | Action: 1 (exploration)
Step 4928 | Action: 2 (exploration)
Step 4942 | Action: 3 (exploration)
Step 4956 | Action: 0 (exploration)
Step 4970 | Action: 1 (exploration)
Step 4984 | Action: 3 (exploration)
Step 4998 | Action: 3 (exploration)
Step 5008 | Action: 0 (exploration)
Step 5022 | Action: 2 (exploration)
Step 5036 | Action: 2 (exploration)
Step 5046 | Action: 2 (exploration)
Step 5056 | Action: 1 (exploration)
Step 5070 | Action: 3 (exploration)
Step 5084 | Action: 0 (exploration)
Step 5098 | Action: 3 (exploration)
Step 5112 | Action: 1 (exploration)
Step 5126 | Action: 0 (exploration)
Step 5140 | Action: 1 (exploration)
Step 5154 | Action: 2 (exploration)
Step 5168 | Action: 0 (exploration)
Step 5182 | Action: 3 (exploration)
Step 5196 | Action: 3 (exploration)
Step 5206 | Action: 0 (exploration)
Step 5220 | Action: 2 (exploration)
Step 5234 | Action: 3 (exploration)
Step 5248 | Action: 2 (exploration)
Step 5262 | Action: 0 (exploration)
Step 5276 | Action: 3 (exploration)
Step 5290 | Action: 3 (exploration)
Step 5300 | Action: 1 (exploration)
Step 5314 | Action: 1 (exploration)
Step 5324 | Action: 2 (exploration)
Step 5338 | Action: 0 (exploration)
Step 5352 | Action: 3 (exploration)
Step 5366 | Action: 1 (exploration)
Step 5380 | Action: 3 (exploration)
Step 5394 | Action: 1 (exploration)
Step 0 | Action: 1 (exploration)
Step 10 | Action: 2 (exploration)
Step 24 | Action: 0 (exploration)
Step 38 | Action: 1 (exploration)
Step 52 | Action: 1 (exploration)
Step 62 | Action: 1 (exploration)
Step 72 | Action: 1 (exploration)
Step 82 | Action: 0 (exploration)
Step 96 | Action: 0 (exploration)
Step 106 | Action: 1 (exploration)
Step 120 | Action: 2 (exploration)
Step 134 | Action: 1 (exploration)
Step 148 | Action: 3 (exploration)
Step 162 | Action: 1 (exploration)
Step 176 | Action: 3 (exploration)
Step 190 | Action: 2 (exploration)
Step 204 | Action: 2 (exploration)
Step 214 | Action: 0 (exploration)
Step 229 | Action: 1 | Raw Q: [-0.0023826584219932556, 0.028784042224287987, -0.05983126908540726, -0.023484449833631516] | Boosted Q: [-0.0023826584219932556, 0.028784042224287987, -0.05983126908540726, -0.023484449833631516]
Step 243 | Action: 1 (exploration)
Step 253 | Action: 1 (exploration)
Step 263 | Action: 2 (exploration)
Step 277 | Action: 0 (exploration)
Step 291 | Action: 1 | Raw Q: [-0.0037955092266201973, 0.01935303770005703, -0.08811540901660919, -0.004943422973155975] | Boosted Q: [-0.0037955092266201973, 0.01935303770005703, -0.08811540901660919, -0.004943422973155975]
Step 305 | Action: 0 (exploration)
Step 319 | Action: 1 (exploration)
Step 334 | Action: 1 (exploration)
Step 348 | Action: 2 (exploration)
Step 368 | Action: 2 (exploration)
Step 378 | Action: 2 (exploration)
Step 388 | Action: 1 (exploration)
Step 402 | Action: 1 (exploration)
Step 412 | Action: 3 (exploration)
Step 426 | Action: 2 (exploration)
Step 441 | Action: 2 (exploration)
Step 453 | Action: 1 (exploration)
Step 469 | Action: 1 (exploration)
Step 482 | Action: 0 (exploration)
Step 500 | Action: 0 (exploration)
Step 510 | Action: 0 (exploration)
Step 521 | Action: 1 (exploration)
Step 537 | Action: 3 (exploration)
Step 553 | Action: 2 (exploration)
Step 569 | Action: 0 (exploration)
Step 583 | Action: 1 (exploration)
Step 597 | Action: 1 (exploration)
Step 607 | Action: 2 (exploration)
Step 621 | Action: 0 (exploration)
Step 635 | Action: 2 (exploration)
Step 649 | Action: 3 (exploration)
Step 663 | Action: 0 (exploration)
Step 677 | Action: 0 (exploration)
Step 687 | Action: 0 (exploration)
Step 697 | Action: 2 (exploration)
Step 711 | Action: 3 (exploration)
Step 726 | Action: 2 (exploration)
Step 741 | Action: 0 (exploration)
Step 757 | Action: 0 (exploration)
Step 769 | Action: 0 (exploration)
Step 782 | Action: 3 (exploration)
Step 800 | Action: 1 (exploration)
Step 819 | Action: 1 (exploration)
Step 831 | Action: 0 (exploration)
Step 850 | Action: 3 (exploration)
Step 869 | Action: 0 (exploration)
Step 890 | Action: 3 (exploration)
Step 913 | Action: 1 (exploration)
Step 937 | Action: 1 (exploration)
Step 957 | Action: 1 (exploration)
Step 977 | Action: 3 (exploration)
Step 1001 | Action: 1 (exploration)
Step 1025 | Action: 0 (exploration)
Step 1049 | Action: 3 (exploration)
Step 1073 | Action: 1 (exploration)
Step 1097 | Action: 1 (exploration)
Step 1117 | Action: 2 (exploration)
Step 1141 | Action: 0 (exploration)
Step 1159 | Action: 2 (exploration)
Step 1174 | Action: 2 (exploration)
Step 1186 | Action: 0 (exploration)
Step 1203 | Action: 1 (exploration)
Step 1220 | Action: 1 (exploration)
Step 1233 | Action: 3 (exploration)
Step 1251 | Action: 2 (exploration)
Step 1265 | Action: 2 (exploration)
Step 1275 | Action: 2 (exploration)
Step 1285 | Action: 1 (exploration)
Step 1300 | Action: 1 (exploration)
Step 1312 | Action: 1 (exploration)
Step 1325 | Action: 1 (exploration)
Step 1340 | Action: 2 (exploration)
Step 1362 | Action: 2 (exploration)
Step 1382 | Action: 0 (exploration)
Step 1406 | Action: 3 (exploration)
Step 1420 | Action: 3 (exploration)
Step 1432 | Action: 3 (exploration)
Step 1447 | Action: 2 (exploration)
Step 1470 | Action: 3 (exploration)
Step 1486 | Action: 2 (exploration)
Step 1504 | Action: 1 (exploration)
Step 1526 | Action: 2 (exploration)
Step 1549 | Action: 2 (exploration)
Step 1569 | Action: 0 (exploration)
Step 1593 | Action: 0 (exploration)
Step 1604 | Action: 3 (exploration)
Step 1620 | Action: 3 (exploration)
Step 1633 | Action: 3 (exploration)
Step 1649 | Action: 2 (exploration)
Step 1671 | Action: 3 (exploration)
Step 1703 | Action: 1 | Raw Q: [-0.8950860500335693, 2.1807377338409424, 0.06688269227743149, -0.4408850371837616] | Boosted Q: [1.4049140214920044, 2.1807377338409424, 0.06688269227743149, -0.4408850371837616]
Step 1726 | Action: 2 (exploration)
Step 1750 | Action: 0 (exploration)
Step 1774 | Action: 0 (exploration)
Step 1786 | Action: 1 (exploration)
Step 1805 | Action: 3 (exploration)
Step 1823 | Action: 3 (exploration)
Step 1841 | Action: 2 (exploration)
Step 1865 | Action: 1 (exploration)
Step 1885 | Action: 0 (exploration)
Step 1909 | Action: 2 (exploration)
Step 1926 | Action: 3 (exploration)
Step 1942 | Action: 3 (exploration)
Step 1954 | Action: 0 (exploration)
Step 1971 | Action: 1 (exploration)
Step 1988 | Action: 0 (exploration)
Step 2003 | Action: 2 (exploration)
Step 2028 | Action: 3 (exploration)
Step 2045 | Action: 1 (exploration)
Step 2062 | Action: 2 (exploration)
Step 2083 | Action: 0 | Raw Q: [-0.5067018270492554, 1.2619904279708862, -0.0072524589486420155, -0.1951129287481308] | Boosted Q: [1.8932982683181763, 1.2619904279708862, -0.0072524589486420155, -0.1951129287481308]
Step 2103 | Action: 2 (exploration)
Step 2117 | Action: 3 (exploration)
Step 2131 | Action: 0 (exploration)
Step 2146 | Action: 2 (exploration)
Step 2161 | Action: 3 (exploration)
Step 2177 | Action: 1 (exploration)
Step 2194 | Action: 3 (exploration)
Step 2209 | Action: 3 (exploration)
Step 2220 | Action: 3 (exploration)
Step 2232 | Action: 1 (exploration)
Step 2248 | Action: 0 (exploration)
Step 2265 | Action: 0 (exploration)
Step 2275 | Action: 3 (exploration)
Step 2289 | Action: 1 (exploration)
Step 2305 | Action: 1 (exploration)
Step 2318 | Action: 1 (exploration)
Step 2334 | Action: 2 (exploration)
Step 2356 | Action: 3 (exploration)
Step 2371 | Action: 2 (exploration)
Step 2388 | Action: 2 (exploration)
Step 2401 | Action: 2 (exploration)
Step 2415 | Action: 2 (exploration)
Step 2431 | Action: 2 (exploration)
Step 2449 | Action: 0 (exploration)
Step 2473 | Action: 0 (exploration)
Step 2483 | Action: 1 (exploration)
Step 2497 | Action: 3 (exploration)
Step 2511 | Action: 3 (exploration)
Step 2522 | Action: 0 (exploration)
Step 2538 | Action: 1 (exploration)
Step 2554 | Action: 0 (exploration)
Step 2571 | Action: 3 (exploration)
Step 2589 | Action: 1 (exploration)
Step 2608 | Action: 1 (exploration)
Step 2624 | Action: 2 (exploration)
Step 2646 | Action: 3 (exploration)
Step 2660 | Action: 0 (exploration)
Step 2675 | Action: 2 (exploration)
Step 2689 | Action: 3 (exploration)
Step 2703 | Action: 0 (exploration)
Step 2717 | Action: 3 (exploration)
Step 2731 | Action: 3 (exploration)
Step 2741 | Action: 0 (exploration)
Step 2755 | Action: 0 (exploration)
Step 2765 | Action: 1 (exploration)
Step 2779 | Action: 2 (exploration)
Step 2794 | Action: 3 (exploration)
Step 2808 | Action: 3 (exploration)
Step 2818 | Action: 1 (exploration)
Step 2832 | Action: 0 (exploration)
Step 2856 | Action: 3 (exploration)
Step 2873 | Action: 0 (exploration)
Step 2890 | Action: 3 (exploration)
Step 2907 | Action: 3 (exploration)
Step 2920 | Action: 2 (exploration)
Step 2937 | Action: 3 (exploration)
Step 2951 | Action: 3 (exploration)
Step 2961 | Action: 1 (exploration)
Step 2975 | Action: 0 (exploration)
Step 2989 | Action: 2 (exploration)
Step 3004 | Action: 3 (exploration)
Step 3018 | Action: 3 (exploration)
Step 3028 | Action: 3 (exploration)
Step 3038 | Action: 2 (exploration)
Step 3052 | Action: 0 (exploration)
Step 3066 | Action: 1 | Raw Q: [-0.006821084301918745, 0.01200878620147705, -0.07998544722795486, -0.004776726011186838] | Boosted Q: [-0.006821084301918745, 0.01200878620147705, -0.07998544722795486, -0.004776726011186838]
Step 3080 | Action: 3 (exploration)
Step 3094 | Action: 0 (exploration)
Step 3108 | Action: 0 (exploration)
Step 3118 | Action: 1 (exploration)
Step 3132 | Action: 0 (exploration)
Step 3147 | Action: 3 (exploration)
Step 3163 | Action: 1 (exploration)
Step 3181 | Action: 0 (exploration)
Step 3200 | Action: 1 (exploration)
Step 3221 | Action: 0 (exploration)
Step 3245 | Action: 1 (exploration)
Step 3269 | Action: 3 (exploration)
Step 3293 | Action: 1 (exploration)
Step 3317 | Action: 1 (exploration)
Step 3337 | Action: 1 (exploration)
Step 3357 | Action: 2 (exploration)
Step 3381 | Action: 1 (exploration)
Step 3396 | Action: 1 (exploration)
Step 3408 | Action: 3 (exploration)
Step 3424 | Action: 0 (exploration)
Step 3441 | Action: 1 (exploration)
Step 3455 | Action: 0 (exploration)
Step 3469 | Action: 0 (exploration)
Step 3479 | Action: 3 (exploration)
Step 3493 | Action: 1 (exploration)
Step 3507 | Action: 1 (exploration)
Step 3517 | Action: 2 (exploration)
Step 3531 | Action: 0 (exploration)
Step 3545 | Action: 0 (exploration)
Step 3555 | Action: 3 (exploration)
Step 3569 | Action: 2 (exploration)
Step 3583 | Action: 2 (exploration)
Step 3593 | Action: 0 (exploration)
Step 3608 | Action: 3 (exploration)
Step 3622 | Action: 0 (exploration)
Step 3636 | Action: 3 (exploration)
Step 3650 | Action: 2 (exploration)
Step 3664 | Action: 1 (exploration)
Step 3678 | Action: 1 (exploration)
Step 3688 | Action: 0 (exploration)
Step 3702 | Action: 3 (exploration)
Step 3716 | Action: 3 (exploration)
Step 3726 | Action: 1 (exploration)
Step 3740 | Action: 1 (exploration)
Step 3750 | Action: 3 (exploration)
Step 3764 | Action: 2 (exploration)
Step 3778 | Action: 0 (exploration)
Step 3792 | Action: 0 (exploration)
Step 3802 | Action: 0 (exploration)
Step 3812 | Action: 0 (exploration)
Step 3822 | Action: 2 (exploration)
Step 3836 | Action: 3 (exploration)
Step 3850 | Action: 0 (exploration)
Step 3864 | Action: 1 (exploration)
Step 3878 | Action: 1 (exploration)
Step 3888 | Action: 0 (exploration)
Step 3902 | Action: 1 (exploration)
Step 3917 | Action: 2 (exploration)
Step 3932 | Action: 2 (exploration)
Step 3942 | Action: 3 (exploration)
Step 3956 | Action: 0 (exploration)
Step 3970 | Action: 2 (exploration)
Step 3984 | Action: 0 (exploration)
Step 3998 | Action: 3 (exploration)
Step 4012 | Action: 0 (exploration)
Step 4026 | Action: 1 (exploration)
Step 4040 | Action: 3 (exploration)
Step 4054 | Action: 1 (exploration)
Step 4068 | Action: 3 (exploration)
Step 4082 | Action: 1 (exploration)
Step 4096 | Action: 1 (exploration)
Step 4106 | Action: 1 | Raw Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252] | Boosted Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252]
Step 4116 | Action: 2 (exploration)
Step 4130 | Action: 2 (exploration)
Step 4140 | Action: 2 (exploration)
Step 4150 | Action: 0 (exploration)
Step 4164 | Action: 1 (exploration)
Step 4178 | Action: 0 (exploration)
Step 4192 | Action: 1 (exploration)
Step 4206 | Action: 3 (exploration)
Step 4220 | Action: 3 (exploration)
Step 4230 | Action: 0 (exploration)
Step 4244 | Action: 0 (exploration)
Step 4254 | Action: 1 (exploration)
Step 4268 | Action: 1 (exploration)
Step 4278 | Action: 2 (exploration)
Step 4292 | Action: 2 (exploration)
Step 4302 | Action: 1 (exploration)
Step 4316 | Action: 2 (exploration)
Step 4330 | Action: 3 (exploration)
Step 4344 | Action: 2 (exploration)
Step 4358 | Action: 3 (exploration)
Step 4372 | Action: 2 (exploration)
Step 4386 | Action: 0 (exploration)
Step 4400 | Action: 3 (exploration)
Step 4414 | Action: 3 (exploration)
Step 4424 | Action: 1 (exploration)
Step 4438 | Action: 3 (exploration)
Step 4452 | Action: 0 (exploration)
Step 4466 | Action: 0 (exploration)
Step 4476 | Action: 3 (exploration)
Step 4490 | Action: 3 (exploration)
Step 4500 | Action: 0 (exploration)
Step 4514 | Action: 3 (exploration)
Step 4528 | Action: 3 (exploration)
Step 4538 | Action: 1 (exploration)
Step 4552 | Action: 0 (exploration)
Step 4566 | Action: 3 (exploration)
Step 4580 | Action: 3 (exploration)
Step 4590 | Action: 3 (exploration)
Step 4600 | Action: 3 (exploration)
Step 4610 | Action: 0 (exploration)
Step 4624 | Action: 1 (exploration)
Step 4638 | Action: 0 (exploration)
Step 4652 | Action: 0 (exploration)
Step 4662 | Action: 0 (exploration)
Step 4672 | Action: 3 (exploration)
Step 4686 | Action: 2 (exploration)
Step 4700 | Action: 3 (exploration)
Step 4714 | Action: 1 (exploration)
Step 4728 | Action: 0 (exploration)
Step 4742 | Action: 1 (exploration)
Step 4756 | Action: 1 (exploration)
Step 4766 | Action: 0 (exploration)
Step 4780 | Action: 1 (exploration)
Step 4795 | Action: 1 (exploration)
Step 4806 | Action: 0 (exploration)
