[Step 1242] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 1.]
[Step 1256] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1270] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 1.]
[Step 1284] Action: 3, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1298] Action: 3, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1308] Action: 0, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1322] Action: 0, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1332] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1346] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1360] Action: 1, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1374] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 1.]
[Step 1388] Action: 0, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [2. 0. 1. 1.]
[Step 1402] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 2.]
[Step 1416] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 1. 4.]
[Step 1430] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 5. 4.]
[Step 1444] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1454] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1468] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 1.]
[Step 1482] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1496] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 1. 0. 0.]
[Step 1510] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 0.]
[Step 1524] Action: 3, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1538] Action: 0, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1552] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1566] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1580] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1594] Action: 1, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1608] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 1.]
[Step 1622] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 2.]
[Step 1636] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 2.]
[Step 1650] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1660] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 1674] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 0.]
[Step 1688] Action: 1, Phase: 6, Halts: [0. 1. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1702] Action: 3, Phase: 2, Halts: [0. 1. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 1716] Action: 3, Phase: 6, Halts: [0. 1. 0. 0.], Waiting: [1. 1. 3. 1.]
[Step 1726] Action: 2, Phase: 6, Halts: [0. 1. 0. 0.], Waiting: [2. 2. 3. 2.]
[Step 1740] Action: 1, Phase: 4, Halts: [0. 1. 0. 0.], Waiting: [4. 4. 0. 0.]
[Step 1754] Action: 3, Phase: 2, Halts: [0. 1. 0. 0.], Waiting: [4. 4. 0. 0.]
[Step 1768] Action: 0, Phase: 6, Halts: [0. 1. 0. 0.], Waiting: [4. 4. 1. 2.]
[Step 1782] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 2.]
[Step 1796] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 2. 0. 0.]
[Step 1810] Action: 0, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 2. 0. 0.]
[Step 1820] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 2. 2. 0.]
[Step 1834] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 1.]
[Step 1848] Action: 1, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 1.]
[Step 1862] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 3. 1.]
[Step 1876] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 2. 0.]
[Step 1890] Action: 0, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 2. 1.]
[Step 1900] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 2. 1.]
[Step 1914] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 3.]
[Step 1928] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [2. 0. 0. 0.]
[Step 1942] Action: 3, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1956] Action: 0, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [2. 0. 0. 0.]
[Step 1970] Action: 2, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 1.]
[Step 1984] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 1994] Action: 0, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 2008] Action: 0, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2018] Action: 2, Phase: 0, Halts: [0. 1. 0. 0.], Waiting: [0. 0. 1. 1.]
[Step 2032] Action: 3, Phase: 4, Halts: [0. 1. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2046] Action: 2, Phase: 6, Halts: [0. 1. 0. 0.], Waiting: [0. 1. 0. 0.]
[Step 2060] Action: 2, Phase: 4, Halts: [0. 1. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 2070] Action: 0, Phase: 4, Halts: [0. 1. 0. 0.], Waiting: [1. 1. 0. 0.]
[Step 2084] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 1.]
[Step 2098] Action: 2, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 1. 1.]
[Step 2112] Action: 1, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 2126] Action: 0, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [1. 0. 0. 0.]
[Step 2140] Action: 0, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2150] Action: 3, Phase: 0, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2164] Action: 1, Phase: 6, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2178] Action: 2, Phase: 2, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
[Step 2192] Action: 2, Phase: 4, Halts: [0. 0. 0. 0.], Waiting: [0. 0. 0. 0.]
